Username,Channel Name,Country,Url,Main topic,Main video category,Likes,Likes Avg.,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days)
cristiano,cristiano,ES,https://www.instagram.com/cristiano,Sports,Sports,22876451727.2491,8671952.6875,3328,465027234,92,51758.33092659446,17009493.6,,,3321113.0,5327340.25,6948658.866666666,0.014915592190075688,0.015903092793121323
kyliejenner,kyliejenner,US,https://www.instagram.com/kyliejenner,,,43048545078.884834,8296735.662500001,6921,356687629,91,47534.12096106048,22875472.888888888,,,1223002.0,2196528.5,4692458.947368421,0.017617215254941837,0.016188635009695234
leomessi,leomessi,,https://www.instagram.com/leomessi,,,4670492197.167756,6895177.8125,875,347032978,90,47044.540305010894,11761596.368932039,,4810554.0,3199807.0,5359468.6,5668453.857142857,0.015533561657092005,0.019045021275040284
selenagomez,selenagomez,US,https://www.instagram.com/selenagomez,,,8442642602.700295,6252711.416666667,1835,334551681,93,39167.115727002965,10723973.0,,,,2340219.0,2340219.0,0.013912686902970844,0.007719661583597468
therock,therock,US,https://www.instagram.com/therock,,,9562231242.147408,1874150.5038461538,6660,327064138,91,8529.747042766152,5413831.362873134,,,713970.0,1101338.5555555555,1165227.3846153845,0.004425938426896481,0.0037225454671269563
kimkardashian,kimkardashian,US,https://www.instagram.com/kimkardashian,,,14920061390.578411,3536820.0625,5603,323090977,91,16964.807439824945,9642516.175438596,,2583151.0,2699977.6666666665,2704005.272727273,2586789.375,0.008303644828516955,0.00968886345202519
arianagrande,arianagrande,US,https://www.instagram.com/arianagrande,,,14762818149.337849,3712125.9285714286,4961,321374794,92,19077.731583403896,6654929.029801325,,,3813109.0,3813109.0,3384398.0,0.009325676729736969,0.010157909564000565
beyonce,beyonce,US,https://www.instagram.com/beyonce,,,5779974409.281899,3627594.6666666665,2036,267023539,92,24558.145400593472,8767897.17142857,,,4311158.0,4311158.0,1686724.1538461538,0.010757704143584734,0.006770543350034715
khloekardashian,khloekardashian,US,https://www.instagram.com/khloekardashian,Sports,Sports,6914667302.569231,2391194.0,4092,260359924,89,10442.211538461539,7593868.457142857,,,,,,0.006556504047279153,0.003111744186636947
kendalljenner,kendalljenner,US,https://www.instagram.com/kendalljenner,,,2743201319.5703325,5520992.5,666,247599374,90,21191.329923273657,14428678.314285714,,6702150.0,6347174.5,5977548.25,5058515.428571428,0.016728936005675127,0.01933898154706844
justinbieber,justinbieber,CA,https://www.instagram.com/justinbieber,,,11114108294.355661,1887637.6785714286,7305,247448517,91,10084.746268656716,4337923.862934363,,,,,1415614.875,0.006190988340030831,0.004042317516819102
natgeo,natgeo,US,https://www.instagram.com/natgeo,Education,Education,2521782123.105974,304664.0,10002,232020700,91,1225.2342857142858,2345345.4444444445,58181.0,95034.3,111805.92307692308,138451.37735849057,158992.71028037384,0.0010919625970223642,0.0007261997482379968
nike,nike,US,https://www.instagram.com/nike,Sports,Sports,298611326.8387097,333382.0,932,228524022,90,5520.935483870968,2638441.2735849055,,,300163.3333333333,273080.0,236986.66666666666,0.0014312255747742483,0.0007551843648689484
taylorswift,taylorswift,US,https://www.instagram.com/taylorswift,,,1037365487.68,2397441.0,537,218097325,91,334.73,7916979.966666667,,,,2049206.0,2049206.0,0.008864362668500655,0.01728258405658807
jlo,jlo,US,https://www.instagram.com/jlo,Music,Music,4015633611.2335486,1691841.5,3151,217547805,89,11942.84,6363148.909937888,,,,688847.0,812984.6,0.005914066125039666,0.005410155380739634
virat.kohli,virat.kohli,,https://www.instagram.com/virat.kohli,Education,Education,3592490224.8141594,3472381.5,1390,206743723,87,18090.06725663717,4841319.094240838,,,2740001.0,2874632.0,2210917.5,0.012603388646202708,0.011349234728847963
nickiminaj,nickiminaj,US,https://www.instagram.com/nickiminaj,Trailers,Trailers,10280946999.02109,2161401.25,6327,197697257,90,19624.634446397187,6688655.284974094,,,,,,0.008325349582187308,0.006336257071398504
kourtneykardash,kourtneykardash,US,https://www.instagram.com/kourtneykardash,,,6239027312.050234,1767538.4642857143,4349,188868254,89,6616.927570093458,5363247.323529412,,,,916201.0,1118825.75,0.00763877184974732,0.012606993862734497
mileycyrus,mileycyrus,,https://www.instagram.com/mileycyrus,,,1232462265.3146796,1311897.7,1217,178122866,89,6343.567721005677,4289871.829333333,,,,1340388.0,1340388.0,0.005723478551401163,0.00913044827543499
neymarjr,neymarjr,BR,https://www.instagram.com/neymarjr,Gaming,Gaming,11825612529.78387,2705534.4857142856,5247,176162107,90,47.64193548387097,6758889.172043011,,1712450.0,1749894.0,1888862.8333333333,2151442.8571428573,0.012795893702001323,0.012232248319600226
katyperry,katyperry,,https://www.instagram.com/katyperry,Nonprofits & Activism,Nonprofits & Activism,1207583441.5661845,720700.2619047619,2028,167005817,92,4824.74638487208,2224739.0827338127,165159.0,165159.0,165159.0,364755.0,325682.28571428574,0.0035962375118176707,0.002112332982072213
kevinhart4real,kevinhart4real,US,https://www.instagram.com/kevinhart4real,Sports,Sports,3440231765.3312497,533486.9166666667,8126,148755284,88,3749.928125,2553278.8239608803,,,123142.5,155624.8,128413.71428571429,0.0028731861174143146,0.0010465903132874227
zendaya,zendaya,US,https://www.instagram.com/zendaya,,,14727094360.363636,5744110.0,3537,147816903,87,16106.142857142857,7685347.7894736845,,,3970268.0,3958943.0,4755622.5,0.02835383700651377,0.056179011176568
iamcardib,iamcardib,US,https://www.instagram.com/iamcardib,,,3453484312.412903,3094440.722222222,1596,137199449,75,18910.93456221198,10726141.90066225,,2193580.0,2253376.3333333335,2209430.8,1829675.5833333333,0.015960393761946034,0.015713244817943926
ddlovato,ddlovato,US,https://www.instagram.com/ddlovato,,,57864919.33797909,1146626.6666666667,66,136695965,88,9535.060975609756,2385574.5,,,,530567.0,355926.22222222225,0.006487486535002729,0.002828270438851897
badgalriri,badgalriri,US,https://www.instagram.com/badgalriri,Entertainment,Entertainment,13027355720.195122,3691546.0,4837,133436105,88,20974.190243902438,8827574.28440367,,,,,,0.02038443141829733,0.029145248983731442
kingjames,kingjames,,https://www.instagram.com/kingjames,,,3894494471.2663045,2102660.3333333335,2331,127326148,86,13785.983695652174,5584779.543307086,803501.0,803501.0,879697.5,1429823.4,1462300.8333333333,0.01324221452919747,0.00998417633804618
theellenshow,theellenshow,US,https://www.instagram.com/theellenshow,Pets & Animals,Pets & Animals,3221788812.5867476,424885.52218152216,9987,123619409,87,3787.9568934805843,3577368.090144231,,,,84741.0,79112.8,0.0026418002535041414,0.0008623072747171544
realmadrid,realmadrid,ES,https://www.instagram.com/realmadrid,Sports,Sports,5446654786.904423,1009067.5405982905,6593,121711711,90,3553.235075781008,3058169.5289855073,647959.75,568533.5555555555,647859.4074074074,660730.3396226416,801848.3129770992,0.006818829080691778,0.007847947162163972
champagnepapi,champagnepapi,NL,https://www.instagram.com/champagnepapi,,,7080377088.078029,1723164.25,5194,116476688,85,83.42094455852155,4816847.96875,,1688951.0,1688951.0,1365792.6666666667,1599806.923076923,0.011733206426403978,0.013645194693147759
chrisbrownofficial,chrisbrownofficial,US,https://www.instagram.com/chrisbrownofficial,,,2632604325.5954022,465597.390625,7282,115007167,86,3862.7194910352805,2049063.463414634,,,287076.5,410872.1666666667,371779.0,0.003186224225398471,0.003146051474766401
fcbarcelona,fcbarcelona,,https://www.instagram.com/fcbarcelona,Sports,Sports,9631251593.443716,1176560.049145299,9988,109950457,90,4342.094240837696,4286283.064,933228.5,797160.5,735920.7368421053,740394.1428571428,732259.88,0.008816628389963834,0.006355039455554542
billieeilish,billieeilish,,https://www.instagram.com/billieeilish,,,4597695016.408839,8520777.666666666,684,104462435,73,45267.4226519337,15804630.0,,,7377994.0,5593146.8,4345861.5,0.06480514116852978,0.048839050357272436
dualipa,dualipa,GB,https://www.instagram.com/dualipa,Music,Music,1924649935.0515463,2091782.107142857,1224,85085187,74,4827.426546391753,2892223.342592593,487197.0,659692.8,935806.8181818182,939716.1176470588,1173231.2352941176,0.018537647929830946,0.0165253073215409
gal_gadot,gal_gadot,US,https://www.instagram.com/gal_gadot,Entertainment,Entertainment,1676682094.920354,1377079.5,1676,83763785,85,4787.1814159292035,3104604.989473684,481129.0,481129.0,470165.3333333333,470165.3333333333,580991.4545454546,0.01200686630581319,0.008213453573774926
vindiesel,vindiesel,US,https://www.instagram.com/vindiesel,Film & Animation,Film & Animation,1866453677.6631017,1384972.6666666667,1817,81632030,88,7997.0213903743315,3097254.1746031744,,,384524.0,384524.0,364442.0,0.012693785845707654,0.00722862292565525
priyankachopra,priyankachopra,US,https://www.instagram.com/priyankachopra,Autos & Vehicles,Autos & Vehicles,4188562034.221411,1580291.6285714286,3545,80262430,85,4660.018248175183,3910075.543859649,,,,2518390.0,1604862.857142857,0.01478391100686883,0.022965684161417192
lalalalisa_m,lalalalisa_m,,https://www.instagram.com/lalalalisa_m,,,3984721201.416667,5650260.5,860,79870794,70,51630.40416666667,8284125.55,,6404213.0,5049325.5,7494265.375,8190369.9,0.05871803849048517,0.10343987972306525
nasa,nasa,US,https://www.instagram.com/nasa,Science & Technology,Science & Technology,3464512772.612777,1172499.9,3522,78572117,88,3965.166883963494,2742669.7719298247,327227.5,533789.3333333334,614062.0,654025.6666666666,715564.7826086957,0.012579604544276762,0.010578574076267675
shakira,Shakira,,https://www.instagram.com/shakira,,,1527021676.9094923,973225.6166666666,1976,75751033,88,6292.061810154525,4121447.827586207,,124610.0,124610.0,124610.0,310397.6666666667,0.01029193879242782,0.007294924860553655
gigihadid,gigihadid,US,https://www.instagram.com/gigihadid,,Gaming & Apps,6314352560.650964,2555316.25,3248,74890004,85,6586.713062098501,8933626.642857144,,,,2063724.5,2063724.5,0.026047174378929273,0.03177140660451761
snoopdogg,snoopdogg,,https://www.instagram.com/snoopdogg,Movies,Movies,1755836107.8472402,205719.22368421053,9995,74552708,86,2673.8992937483654,1259594.4058919803,48391.0,57393.166666666664,79461.43478260869,138903.94642857142,134955.6611570248,0.0023939542319809356,0.001648726284560223
davidbeckham,davidbeckham,US,https://www.instagram.com/davidbeckham,,,1445693832.6472728,1237162.25,1522,74516736,86,4077.069090909091,3354963.688311688,,,,237234.0,421613.5,0.012811143138962353,0.00816315000220227
shraddhakapoor,shraddhakapoor,,https://www.instagram.com/shraddhakapoor,,,2189221609.2746587,1609147.0,1872,73424750,81,6224.394537177542,2550143.938202247,,825124.0,825124.0,825124.0,825124.0,0.016021450574173184,0.01888053995088805
victoriassecret,victoriassecret,US,https://www.instagram.com/victoriassecret,,,315386787.0528593,148111.8363636364,2796,73016997,88,389.1310664605873,412003.2732095491,,14910.0,17489.5,23730.333333333332,22321.29411764706,0.0015506634666612247,0.0002866246735449936
k.mbappe,k.mbappe,,https://www.instagram.com/k.mbappe,Sports,Sports,2369430072.8347826,2454367.866666666,1149,72335779,86,10607.11652173913,6006698.25,,1067835.0,1332534.6666666667,1462670.3333333333,1754809.125,0.02867493751889225,0.03377577286054933
nehakakkar,nehakakkar,IN,https://www.instagram.com/nehakakkar,Music,Music,2681817706.8094487,1530347.0,2298,70376999,84,7334.274015748031,4497085.660550458,,,,329835.5,711477.75,0.016692846499520967,0.008883426139761511
shawnmendes,shawnmendes,CA,https://www.instagram.com/shawnmendes,,Music,6860739273.822894,3500515.0,2532,69407554,83,23995.509719222464,3180541.7126436783,,2055267.6666666667,1678390.4285714286,1678390.4285714286,1831551.1538461538,0.03942082844500513,0.02510106906785396
nba,nba,US,https://www.instagram.com/nba,Sports,Sports,3706978457.7314906,374008.6914285715,12610,68938585,87,1014.6888450148075,1863379.1038961038,138689.75,186225.0,205004.76666666666,202891.8656716418,223104.62719298244,0.004284871432061784,0.0030800686059339216
narendramodi,narendramodi,IN,https://www.instagram.com/narendramodi,Pets & Animals,Pets & Animals,1190976040.1422594,2953851.5,537,68330604,85,24367.343096234308,5185283.8125,,,,1230562.0,1830545.6,0.032833921278327106,0.023287970520249404
jennierubyjane,jennierubyjane,,https://www.instagram.com/jennierubyjane,,,3387108066.458333,5080827.583333333,857,68085856,76,42238.50148809524,5690914.514285714,,,,6395073.0,7258851.666666667,0.0587168010484671,0.1148189686951802
deepikapadukone,deepikapadukone,IN,https://www.instagram.com/deepikapadukone,,,288480120.37664235,1544528.95,258,67796542,83,4756.226277372263,4012606.319672131,,1638516.0,1638516.0,1181600.3333333333,1181600.3333333333,0.016576823363872097,0.013678535995667191
tomholland2013,tomholland2013,,https://www.instagram.com/tomholland2013,,,5304836876.615384,5408241.0,1218,67657871,77,27396.79120879121,9892997.666666666,,,7582873.0,7582873.0,6994957.0,0.06485702627451535,0.1260702528879513
aliaabhatt,aliaabhatt,IN,https://www.instagram.com/aliaabhatt,Entertainment,Entertainment,2402387529.7444634,1759431.125,1820,67428908,82,6892.528109028961,3586775.894117647,568946.0,1716864.5,2220579.6666666665,3554326.0,2127322.75,0.019699078976392687,0.04135082469462009
ronaldinho,ronaldinho,BR,https://www.instagram.com/ronaldinho,Sports,Sports,1989157882.2368896,891414.0833333333,2921,67398061,78,4286.839059674503,2453751.8396946564,218368.0,218368.0,329519.25,261123.85714285713,347323.8823529412,0.010176238875144406,0.005792972996935674
emmawatson,emmawatson,US,https://www.instagram.com/emmawatson,,,464492011.7307692,1858345.0,344,67107508,87,6711.485576923077,4843114.411764706,0.0,0.0,0.0,0.0,0.0,0.020234094078551337,0.00010007585557283738
bts.bighitofficial,bts.bighitofficial,UY,https://www.instagram.com/bts.bighitofficial,,,3856145686.3503647,4172263.1666666665,1150,65962589,78,35250.45547445255,4665768.0,,,2808383.0,3652298.5,3763044.4545454546,0.051423220753095925,0.07204070836907596
katrinakaif,katrinakaif,IN,https://www.instagram.com/katrinakaif,Entertainment,Entertainment,1399937430.5550122,1674335.25,997,65597009,85,8971.833740831296,4732693.97979798,,,,539443.0,539443.0,0.021554420551177164,0.03746581904909965
justintimberlake,justintimberlake,US,https://www.instagram.com/justintimberlake,,,397901617.57894737,614677.0,780,65477707,87,6039.921052631579,2640031.695652174,,,,194952.5,198150.33333333334,0.007889870974513864,0.0038519607996693275
marvel,marvel,TR,https://www.instagram.com/marvel,Movies,Trailers,2118435812.30458,328737.6,6907,65358436,82,1066.2219724641752,960153.7919947506,55538.666666666664,122017.33333333333,183257.77777777778,193248.35294117648,260000.9090909091,0.0047100652194721464,0.005019959669548789
camila_cabello,camila_cabello,US,https://www.instagram.com/camila_cabello,,,4044183217.3194923,1853523.9285714286,2884,64375364,77,7368.125720876586,3185373.0707964604,,,1579814.0,1532900.0,1287657.5714285714,0.021926528844997753,0.019434598300334237
willsmith,willsmith,US,https://www.instagram.com/willsmith,,,1528149973.1881838,1408560.3333333333,1362,64260079,82,12989.699124726478,6291661.438423646,0.0,0.0,0.0,0.0,0.0,0.01766017097872805,0.0002021184767022637
raffinagita1717,raffinagita1717,ID,https://www.instagram.com/raffinagita1717,Entertainment,Entertainment,2782184603.047718,387143.96774193546,9946,62899363,83,3716.759681881051,1322062.7623762377,249344.2,340437.14285714284,486322.5,456141.14634146343,434216.09722222225,0.004511025689070053,0.007298126776006595
anitta,anitta,US,https://www.instagram.com/anitta,,,3236456276.9838166,857234.1124999999,5091,62896138,82,7632.5947403911,2681297.324110672,,313134.5,426274.5,420654.28571428574,414450.1538461539,0.010235394502868563,0.008756384234057814
maluma,maluma,CO,https://www.instagram.com/maluma,,,6950832710.095238,1195150.8154761905,8164,62706097,84,8056.752786220872,2901785.472222222,,1074236.0,901334.5,948883.75,1025142.0,0.0137097455332929,0.01485158399569522
akshaykumar,akshaykumar,,https://www.instagram.com/akshaykumar,Entertainment,Entertainment,2200303385.06422,1516770.0,1860,62614053,85,7210.882568807339,4092468.3536585364,,265974.0,341912.0,391342.6666666667,572411.625,0.01900901740256004,0.013576863477011284
jacquelinef143,jacquelinef143,IN,https://www.instagram.com/jacquelinef143,Entertainment,Entertainment,2088469651.8573468,1143262.3333333333,2433,62118961,85,4780.738944365193,2415085.3583333334,,,615704.5,803217.0,648666.5555555555,0.013906764246708123,0.009729520701380084
sooyaaa__,sooyaaa__,,https://www.instagram.com/sooyaaa__,Film & Animation,Film & Animation,3036363131.9101124,4493906.633333334,824,62062471,82,35145.84691011236,3985933.9024390243,,,,6468019.0,6001684.833333333,0.06002130823778813,0.09248074580601165
psg,psg,FR,https://www.instagram.com/psg,Sports,Sports,4595183470.198317,508990.44775132276,9761,61178714,86,1457.0676016830294,2135978.161904762,162310.0,281299.5789473684,291237.8076923077,371440.6530612245,359066.93548387097,0.007728083074380626,0.00832135247882858
roses_are_rosie,roses_are_rosie,,https://www.instagram.com/roses_are_rosie,Sports,Sports,2986099761.4933333,4586884.9375,816,60940323,82,31561.863703703704,4699873.510204081,,,,,5593980.833333333,0.0606299530692667,0.08641471527896527
anushkasharma,anushkasharma,,https://www.instagram.com/anushkasharma,Education,Education,1632552354.2939632,1925204.75,1159,59276468,85,5906.839895013123,3641625.4752475247,,814180.0,615775.5,615775.5,1184805.4285714286,0.023876628179879622,0.019773256627131048
manchesterunited,manchesterunited,GB,https://www.instagram.com/manchesterunited,Sports,Sports,3168867342.120344,384605.4114219114,9900,58974258,85,1878.2301160148309,1809835.1690909092,128884.33333333333,230239.5625,223269.71875,240808.5357142857,235152.1338028169,0.005463892269924026,0.0050571864648222215
whinderssonnunes,whinderssonnunes,BR,https://www.instagram.com/whinderssonnunes,,,3347794662.666667,1616371.15,2717,58591940,79,16203.310391363022,5257153.904411765,18141.0,18141.0,18141.0,18141.0,243302.25,0.02131114578656265,0.007458099641842985
9gag,9gag,US,https://www.instagram.com/9gag,Pets & Animals,Pets & Animals,5062668339.7249775,678711.3186489217,10021,58181054,86,5559.041481316726,3613240.0659955256,202474.75,227477.06666666668,221743.56756756757,258582.8,268979.2948717949,0.00877890888858326,0.004668308004854369
marcelotwelve,marcelotwelve,BR,https://www.instagram.com/marcelotwelve,Shows,Shows,1562555089.7001863,693038.1666666666,2671,57439765,86,2503.0372439478583,3041758.0,194474.0,280022.0,358287.3333333333,402644.375,650563.7058823529,0.01023008730851219,0.013071068710946135
karimbenzema,karimbenzema,ES,https://www.instagram.com/karimbenzema,Music,Music,1474433941.6666667,876565.0,2000,55869867,42,5392.554166666667,2973552.169811321,355367.0,400075.0,814691.25,791904.1666666666,997608.3333333334,0.013316958042669705,0.023488033493626735
chrishemsworth,chrishemsworth,AU,https://www.instagram.com/chrishemsworth,Trailers,Trailers,1731131414.3223684,2745384.0,859,55165178,86,8745.578947368422,6180484.385416667,,,,1757045.75,1571159.5,0.036724414049764,0.03274964220267765
paulpogba,paulpogba,FR,https://www.instagram.com/paulpogba,,,1344107517.9932585,1397068.0,1279,54634350,80,5836.703370786517,2730445.2959183673,,342536.0,353815.0,316381.6666666667,422788.75,0.019361238848825027,0.013340373645345422
iamzlatanibrahimovic,iamzlatanibrahimovic,,https://www.instagram.com/iamzlatanibrahimovic,Sports,Sports,957991032.4061539,1541239.4166666667,868,54512391,86,7579.6430769230765,6267214.268518519,,,353745.0,446872.0,521481.0,0.0203904195851993,0.025430366618734643
karolg,karolg,IN,https://www.instagram.com/karolg,People & Blogs,People & Blogs,7767485055.881721,3028630.75,3297,54422099,83,20350.107526881722,7802091.677777777,,5904571.0,5904571.0,5904571.0,5904571.0,0.043755473088921235,0.12806899349700457
leonardodicaprio,leonardodicaprio,,https://www.instagram.com/leonardodicaprio,Pets & Animals,Pets & Animals,574061426.7403314,398191.4166666667,1680,54158640,86,3509.686924493554,1235508.4338235294,55282.0,55282.0,55282.0,98298.25,120142.83333333333,0.0063752114226341425,0.002202655279047041
milliebobbybrown,milliebobbybrown,US,https://www.instagram.com/milliebobbybrown,,,788789893.4895833,3987302.6666666665,275,54105006,80,18188.152083333334,6851714.223880597,,2677095.0,3417441.5,4831356.25,5021154.0,0.05383589702027089,0.08515458546183766
juventus,juventus,,https://www.instagram.com/juventus,Gaming,Gaming,1721135539.4165287,201090.73333333334,9974,54054171,87,952.7917355371901,840567.1208333333,97856.2,91882.6,153989.95652173914,139207.71794871794,121662.67164179105,0.0032123026481601807,0.002618974567220732
zacefron,zacefron,US,https://www.instagram.com/zacefron,Movies,Movies,1081307391.9142857,2262103.5,663,53887887,86,9847.057142857142,5708580.75862069,,,,,,0.030471489338963407,0.021729759013399616
tatawerneck,tatawerneck,BR,https://www.instagram.com/tatawerneck,Entertainment,Entertainment,3865143085.742032,976812.5,5565,53554512,86,6598.756972111554,2908022.978319783,,,124830.0,149581.0,165887.55555555556,0.013100057616411363,0.003956366098168731
bellahadid,bellahadid,GB,https://www.instagram.com/bellahadid,,,2656132802.451769,1132707.392857143,3125,53359256,79,2687.933279742765,2738503.616438356,,,1776348.6666666667,1203778.3333333333,1101626.1666666667,0.015992599463064357,0.021208311549095523
robertdowneyjr,robertdowneyjr,US,https://www.instagram.com/robertdowneyjr,Entertainment,Entertainment,923395252.8487084,2984656.25,422,53210425,86,12541.236162361623,7258314.398230089,,,,,2106144.0,0.04136783784327339,0.040449588820382736
sunnyleone,sunnyleone,,https://www.instagram.com/sunnyleone,Entertainment,Entertainment,2476466027.1456585,769200.1041666666,4559,53190031,84,3678.440476190476,1954614.2463054187,,351347.5,517827.25,354785.77777777775,299836.7368421053,0.01029073076626748,0.005912132476603978
ladygaga,ladygaga,US,https://www.instagram.com/ladygaga,Music,Music,3786872200.763359,1435302.7666666668,3546,53092230,83,13384.041984732825,3540913.194029851,,,,,635763.3333333334,0.020373518135484544,0.01206513905617145
beingsalmankhan,beingsalmankhan,IN,https://www.instagram.com/beingsalmankhan,Entertainment,Entertainment,1249737786.6478148,1399897.75,1173,52980205,76,17133.09768637532,3247875.5857988168,,,,411782.0,789300.3333333334,0.02045197079212034,0.012979513834718952
jbalvin,jbalvin,,https://www.instagram.com/jbalvin,Gaming,Gaming,7726895464.469388,920868.0,9999,52762698,87,5561.646258503401,3099539.4,12318.0,12318.0,163532.0,157988.8,273997.22222222225,0.014751860985195233,0.00889084953260796
sergioramos,sergioramos,,https://www.instagram.com/sergioramos,Gaming,Gaming,1794037639.68,966414.75,2218,52261132,87,3086.92,,,314054.0,409956.6666666667,515387.0,687255.5714285715,0.015554935569029524,0.016188071020314398
ayutingting92,ayutingting92,ID,https://www.instagram.com/ayutingting92,Music,Music,1129273039.8976324,149139.97506493505,10018,52170594,85,849.2212543554007,934398.2594458439,19229.5,45384.71428571428,40771.92857142857,57132.8,74728.48214285714,0.0021782914776760014,0.0017860786227001484
dishapatani,dishapatani,US,https://www.instagram.com/dishapatani,Entertainment,Entertainment,2448977591.509202,1615190.0,2128,52062772,74,6306.800613496933,3530372.6193181816,,882479.5,865676.75,778869.0,1057708.4444444445,0.02223053788276015,0.018825353276279683
mosalah,mosalah,,https://www.instagram.com/mosalah,,,1271364326.5434175,1786297.25,832,51823495,22,12480.288515406162,3191156.7741935486,,839320.0,853353.0,1069706.375,1430160.076923077,0.029780921275631644,0.029182461305476727
433,433,NL,https://www.instagram.com/433,,,7235186846.11386,863448.1813186815,10319,50846051,79,4092.4105328472815,3232599.6691729324,519454.2,660923.1142857143,696233.234375,730624.5454545454,810461.4090909091,0.013870395720959945,0.019295154620963855
hudabeauty,hudabeauty,US,https://www.instagram.com/hudabeauty,Fashion & Beauty,Fashion & Beauty,317929978.3075734,187183.89166666666,2330,50651842,82,2296.0695517774343,1458333.5070028012,28264.0,19618.5,18836.666666666668,19946.6,19626.222222222223,0.0027397198041948733,0.0006546970510095037
adele,adele,US,https://www.instagram.com/adele,,,1411415903.4366198,4739484.5,418,50542177,84,32030.802816901407,15396176.307692308,,2211066.0,2766306.0,2392644.25,2392644.25,0.0675205757587189,0.06114850777456569
michelleobama,michelleobama,,https://www.instagram.com/michelleobama,Entertainment,Entertainment,379263804.56296295,707602.75,592,50389066,85,6837.59012345679,1499868.049382716,,225063.0,225063.0,1922041.3333333333,879917.3333333334,0.012858833991600312,0.010987462595888045
jamesrodriguez10,jamesrodriguez10,CO,https://www.instagram.com/jamesrodriguez10,Sports,Sports,1163824878.8454545,1414736.5,1054,49753046,86,10241.777272727273,3021228.5,,,,317195.0,317195.0,0.022404380601908667,0.008694616026179684
